,Domaine,Titre,Definition,Competences_Emploi,Acces_Emploi,Appellations
427,services à la personne et à la collectivité,conseil en services funeraires k2602,supervise  organise les obseques et les ceremonies funeraires de defunts selon les souhaits de la famille  les protocoles  les cultes  les rites funeraires et la reglementation de sante publique et des collectivites territoriales. effectue la vente de produits et de services funeraires. peut coordonner une equipe ou diriger une structure. ,competences de base savoir-faire savoirs informer et conseiller la personne  la famille sur le choix des prestations funeraires determiner avec la famille l'organisation et les conditions de la prestation funeraire (jour  choix du cercueil  ornements  ...) encaisser le montant d'une vente verifier la conformite de la livraison ordonnancer des obseques amenager une salle funeraire coordonner une equipe d'intervenants organiser des demarches administratives post-mortem verifier des conditions d'inhumation renseigner les supports administratifs relatifs a l'admission en chambre funeraire  l'inhumation  la cremation accompagner et guider des personnes  la famille  le cortege le jour des obseques realiser la ceremonie funeraire et controler la conformite de son deroulement outils bureautiques techniques de vente regles d'hygiene et de securite legislation funeraire psychologie offices cultuels et civils produits et services funeraires ,cap bep formation_funeraire diplome_bac bac+2 bts l2 commerce gestion postes responsable casier judiciaire exempt_toute_mention_contradictoire,agent   agente de formalites funeraires assistant   assistante funeraire assistant   assistante funeraire de plateau d'assistance assistant commercial   assistante commerciale funeraire charge   chargee des formalites funeraires chef de protocole funeraire conseiller   conseillere funeraire conseiller   conseillere rapatriement funeraire conseiller commercial   conseillere commerciale funeraire demarcheur   demarcheuse funeraire directeur   directrice d'agence funeraire directeur   directrice d'entreprise funeraire directeur   directrice de regie de pompes funebres directeur   directrice de regie funeraire maitre   maitresse de ceremonie funeraire maitre   maitresse des ceremonies funeraires monteur   monteuse de convois funeraires ordonnateur   ordonnatrice des pompes funebres regleur   regleuse funeraire responsable d'agence funeraire responsable d'entreprise de pompes funebres responsable de centre de profit funeraire responsable des operations funeraires responsable des ventes de services funeraires responsable planning funeraire vendeur   vendeuse de point de vente funeraire 
428,services à la personne et à la collectivité,thanatopraxie k2603,realise l'ensemble des soins de conservation  de presentation et d'habillage du defunt selon les souhaits de la famille  les protocoles funeraires et la reglementation de sante publique et des collectivites territoriales. ,competences de base savoir-faire savoirs informer la personne  la famille sur les soins funeraires et les demarches administratives necessaires verifier les documents administratifs post mortem (certificat de deces  autorisation de transport  d'inhumer  de cremation  ...) proceder aux operations de transfert  de reception de corps  de preparation  d'aide aux autopsies realiser des soins de conservation du corps (aspiration et elimination de liquides corporels  injection de melanges antiseptiques  ...) realiser la restauration esthetique du corps ou le remodelage post-traumatique du visage du defunt realiser la toilette post mortem  le maquillage et la presentation du defunt realiser une operation de maintenance renseigner les documents administratifs d'une activite procedures de maintenance de locaux procedures de maintenance de materiel soins mortuaires techniques de maquillage mortuaire regles d'hygiene et de securite medecine legale legislation funeraire histologie psychologie ,avec_diplome_national thanatopracteur vaccinations dtpolio hepatite b obligatoires casier judiciaire exempt_toute_mention_contradictoire,embaumeur   embaumeuse responsable des soins mortuaires thanatopracteur   thanatopractrice 
429,spectacle,animation musicale et scenique l1101,concoit et anime des soirees (mariages  anniversaires  bals  ...) pour des particuliers  dans des discotheques  ... selon une commande (moyens materiels  couts  ...). peut creer des morceaux de musique  des sons. ,competences de base savoir-faire savoirs definir le contenu et le deroulement d'une animation definir les besoins d'un client definir l'equipement necessaire pour un evenement definir la configuration d'un lieu pour un evenement lancer des morceaux de musique selectionner des morceaux de musique modifier un morceau de musique en cours de diffusion mixer des morceaux de musique animer des jeux  sketchs  karaoke  presenter et distribuer des lots  des cadeaux au public concevoir des affichettes  flyers repertoire de musiques pop rock techniques de mixage techniques de scratching techniques de communication techniques d'animation micro techniques de djing (mix  scratch  ...) types de materiel de djing (platine  sequenceur  ...) styles musicaux electricite equipements de sonorisation methodes d'analyse en acoustique electroacoustique types d'animation musicale caracteristiques des materiels d'eclairage ,avec_experience animation musicale sans_diplome_avec_titre homologue animateur musical scenique ams recrutements contrats_travail saisonniers duree_determinee vacation permis b,animateur   animatrice de soirees animateur   animatrice de soirees privees animateur   animatrice disc-jockey animateur   animatrice disco mobile dee-jay disc-jockey dj 
430,spectacle,mannequinat et pose artistique l1102,defile  adopte des poses ou des attitudes sur les directives d'un styliste  d'un photographe  d'un artiste  dans le cadre de defiles  de seances photos  de realisation d'oeuvres d'art (peintures  sculptures  ...)  selon la reglementation du code du travail (droit a l'image  ...)  les imperatifs de diffusion des collections et la planification de campagnes publicitaires ou de manifestations artistiques. peut exposer un detail de son corps a l'objectif ou a la camera dans le cadre de campagnes publicitaires pour des bijoux  des cosmetiques  de la lingerie  ... ,competences de base savoir-faire savoirs poser en suivant les indications d'un artiste  styliste ou photographe defiler lors de manifestations publiques selon les indications du styliste et les repetitions techniques de parcours de defile de mode techniques d'expression corporelle ,criteres mensurations taille caracteristiques physiques visage age sans_diplome_demarches casting book composite necessaires obtention contrats_recrutements generalement contrat_travail duree_determinee contrat_mise disposition mannequin vacation modele langue_etrangere anglais,mannequin mannequin cabine mannequin d'essayage mannequin detail mannequin haute couture modele modele vivant 
431,spectacle,presentation de spectacles ou d'emissions l1103,presente et anime des emissions televisees  radiophoniques (culturelles  de divertissement  ...) ou des spectacles (cirque  danse  ...)  selon la reglementation audiovisuelle et les imperatifs de programmation de la chaine  de la radio (programmation musicale  publicites  ...) ou du spectacle. peut concevoir un projet d'emission (litteraire  magazine sante  ...). ,competences de base savoir-faire savoirs collecter des informations dans le cadre d'une emission concevoir un projet radiophonique ou televise choisir des participants pour un spectacle  une emission presenter des invites  candidats  auditeurs et leur actualite presenter les sujets d'une emission interviewer des participants reguler les echanges entre les participants d'un debat redaction de synopsis appropriation d'espace scenique techniques d'ecriture televisuelle techniques d'ecriture radiophonique techniques d'interview methodes d'investigation techniques d'animation radio techniques de communication techniques d'animation television techniques de diction techniques d'animation de debat ,avec_experience domaines animation radio television sans_diplome diplome_bac+2 l2 bts master m1 m2 journalisme specialite histoire sante demarches necessaires obtention nouveaux contrats,animateur   animatrice de spectacles animateur   animatrice radio animateur   animatrice tv chauffeur   chauffeuse de salle chroniqueur   chroniqueuse tv   radio presentateur   presentatrice de spectacles presentateur   presentatrice radio presentateur   presentatrice tv 
432,spectacle,danse l1201,concoit et ou interprete des oeuvres choregraphiques (ballet classique  choregraphie contemporaine  ...)  selon le projet artistique defini par une ecole  une compagnie de danse et les imperatifs de programmation. peut effectuer la notation d'une choregraphie. ,competences de base savoir-faire savoirs monter en scene une choregraphie dans ses aspects artistiques  esthetiques et techniques concevoir une choregraphie dans ses aspects artistiques  esthetiques et techniques definir les conditions de realisation d'une representation enchainer les exercices d'echauffement et d'apprentissage de la danse interpreter une oeuvre choregraphique techniques respiratoires techniques de memorisation techniques d'interpretation principes de mise en scene appropriation d'espace scenique repertoire choregraphique classique repertoire choregraphique contemporain droit de la propriete intellectuelle ,avec_formation_danse conservatoires musique danse ecoles danse completee experience genres choregraphiques apprentissage plus jeune age associe reguliere danse indispensable recrutements contrats_travail duree_determinee contrat_travail duree_indeterminee structures permanentes ballets compagnies demarches necessaires obtention contrats,artiste choregraphique assistant   assistante du choregraphe choregraphe danseur   danseuse danseur   danseuse danse classique danseur   danseuse danse contemporaine danseur   danseuse danses de varietes danseur   danseuse danses ethniques et traditionnelles danseur   danseuse danses urbaines  hip-hop danseur   danseuse de revue  music hall  comedie musicale danseur   danseuse jazz  modern jazz directeur   directrice artistique en danse gogo dancer maitre   maitresse de ballet notateur   notatrice en danse repetiteur   repetitrice de ballet strip-teaseur   strip-teaseuse 
433,spectacle,musique et chant l1202,interprete vocalement et instrumentalement des oeuvres musicales (symphonies  concerto  chansons  ...) lors de representations (concerts  opera  comedies musicales  festivals  bals  ...)  d'enregistrements (radio  television  ...)  selon les imperatifs de tournage  de programmation. peut composer les paroles  la melodie d'une oeuvre musicale. ,competences de base savoir-faire savoirs definir les conditions d'un tour de chant   concert pratiquer des exercices instrumentaux pratiquer des exercices vocaux repeter une oeuvre musicale pour une representation ou un enregistrement modifier la mise en scene d'une oeuvre musicale modifier l'interpretation d'une oeuvre musicale interpreter une oeuvre musicale reproduire une melodie musique apres ecoute adapter le programme d'un tour de chant   concert pratique du chant solfege repertoire d'oeuvres classiques art dramatique appreciation auditive placement de voix repertoire d'oeuvres contemporaines droit de la propriete intellectuelle techniques respiratoires techniques d'interpretation principes de mise en scene rythmique techniques de memorisation histoire de la musique techniques d'echauffement de la voix techniques de diction ,avec_formation_musique et ou chant conservatoires ecoles musique completee experience ces reguliere musique et ou chant indispensable demarches auditions necessaires obtention contrats_recrutements generalement contrats_travail duree_determinee contrat_travail duree_indeterminee concours certaines structures orchestre regional orchestres subventionnes etat appartenant aux armees bonne acuite auditive recommandee,accordeoniste altiste arrangeur musical   arrangeuse musicale auteur-compositeur   auteure-compositrice auteur-compositeur-interprete   auteure-compositrice-interprete auteur-interprete   auteure-interprete bassiste bassoniste batteur   batteuse chanteur   chanteuse chanteur   chanteuse de bals  soirees privees chanteur   chanteuse de jazz et funk chanteur   chanteuse de musique ethnique et traditionnelle chanteur   chanteuse de rap chanteur   chanteuse de revue  music-hall  comedie musicale chanteur   chanteuse de rock-pop chanteur   chanteuse de varietes chanteur   chanteuse lyrique chanteur   chanteuse soliste chanteur lyrique baryton chanteur lyrique basse chanteur lyrique contre-tenor chanteur lyrique tenor chanteuse lyrique alto contre-alto chanteuse lyrique mezzo-soprano chanteuse lyrique soprano chef d'orchestre chef de chant chef de choeur choriste clarinettiste claveciniste compositeur   compositrice contrebassiste contre bassoniste corniste directeur   directrice artistique musique directeur   directrice des choeurs flutiste guitariste harmoniciste harpiste hautboiste joueur   joueuse d'instrument ethnique ou traditionnel joueur   joueuse de synthetiseur musicien   musicienne musicien   musicienne d'orchestre musicien   musicienne de varietes musicien   musicienne instrumentiste musicien   musicienne musique assistee par ordinateur - mao - musicien   musicienne soliste musicien-accompagnateur   musicienne-accompagnatrice orchestrateur   orchestratrice organiste percussionniste pianiste regisseur   regisseuse d'orchestre regisseur   regisseuse des choeurs saxophoniste timbalier   timbaliere tromboniste trompettiste tubiste   contre tubiste violoncelliste violoniste xylophoniste 
434,spectacle,art dramatique l1203,interprete des roles  des personnages dans des oeuvres cinematographiques  des productions audiovisuelles (telefilms  series  feuilletons radiophoniques  films publicitaires  ...)  des spectacles (pieces de theatre  comedies musicales  ...)  selon les intentions artistiques d'un metteur en scene  d'un realisateur  ... et les imperatifs de tournage  de programmation. peut intervenir en tant que figurant ou silhouette. peut effectuer du doublage vocal. ,competences de base savoir-faire savoirs defricher un scenario realiser un echauffement corporel et vocal avant une repetition ou une representation proposer et ameliorer des axes d'interpretation   jeu repeter un role interpreter un role promouvoir une oeuvre memoriser des textes  dialogues defricher le texte d'une piece de theatre contribuer a des actions de promotion dans les medias et sur les reseaux sociaux techniques d'improvisation techniques d'expression corporelle techniques gestuelles techniques de diction techniques respiratoires histoire du theatre histoire du cinema placement de voix appropriation d'espace scenique techniques de relaxation ,emploi metier avec_formation_art dramatique conservatoires ecoles nationales superieures theatre cours prives avec_experience sans_diplome_demarches casting auditions necessaires obtention contrats_recrutements generalement contrats_travail duree_determinee,acteur   actrice acteur   actrice de complement acteur principal   actrice principale artiste dramatique comedien   comedienne conteur   conteuse doublure doublure cascadeur   cascadeuse figurant   figurante personnage personnage de noel repetiteur   repetitrice de dialogues silhouette voix off 
435,spectacle,arts du cirque et arts visuels l1204,met en scene  realise un ou des numero(s) visuel(s) (arts du cirque  mime  magie  cascade  ...) comportant des effets comiques  speciaux ou spectaculaires pour des tournages  des spectacles  selon la reglementation securite. peut realiser un numero de grande illusion et des tours de magie devant un public. peut imiter des voix  des personnages  des situations. ,competences de base savoir-faire savoirs monter un numero visuel dans ses aspects techniques  artistiques  esthetiques concevoir un numero visuel dans ses aspects techniques  artistiques  esthetiques concevoir les objets et materiels necessaires a un numero de cirque ou d'arts visuels definir les conditions de realisation d'un numero visuel realiser un echauffement corporel pratiquer des exercices vocaux installer les accessoires necessaires a un numero avant la representation installer du materiel d'eclairage installer du materiel de sonorisation realiser un numero visuel modifier les effets spectaculaires ou comiques du numero selon les reactions du public proceder a la preparation d'un evenement artistique (coiffure  maquillage  costume) gestes et postures de manutention droit de la propriete intellectuelle appropriation d'espace scenique analyse des risques techniques de maquillage histoire des arts du cirque scenographie techniques d'expression corporelle techniques de memorisation regles et consignes de securite pratique du chant ,avec_diplomes brevet_artistique techniques cirque diplome_metiers arts cirque disciplines arts cirque mime marionnette avec_experience disciplines arts cirque sans_diplome_apprentissage plus jeune age aptitudes physiques souplesse equilibre resistance physique recrutements generalement contrats_travail duree_determinee demarches necessaires obtention contrats_permis poids lourd bateau avion demandes certificat capacite ouverture etablissement presenter numero fauves public,acrobate antipodiste artiste de cirque artiste de rue cascadeur   cascadeuse chansonnier   chansonniere clown comique contorsionniste cracheur   cracheuse de feu dompteur   dompteuse dresseur   dresseuse d'animaux de cirque echassier   echassiere ecuyer   ecuyere equilibriste fakir fantaisiste fauconnier   fauconniere fildeferiste funambule humoriste illusionniste imitateur   imitatrice jongleur   jongleuse magicien   magicienne marionnettiste mime patineur   patineuse sur glace prestidigitateur   prestidigitatrice transformiste trapeziste ventriloque voltigeur   voltigeuse 
436,spectacle,mise en scene de spectacles vivants l1301,supervise  organise tout ou partie de la mise en scene de spectacles vivants (pieces de theatre  lectures  comedies musicales  spectacles de rue  ...)  selon la reglementation de la propriete intellectuelle et les imperatifs de la production (budget  programmation  ...). peut ecrire le texte d'un spectacle. ,competences de base savoir-faire savoirs concevoir une mise en scene pour un spectacle definir les conditions de realisation d'un spectacle selectionner un lieu de tournage determiner les decors  costumes  coiffures et maquillages pour un tournage identifier les besoins d'un projet en eclairage identifier les besoins d'un projet en decors auditionner des artistes attribuer un role diriger des interpretes apporter des ameliorations a une mise en scene en tenant compte du deroulement des representations promouvoir une oeuvre histoire du theatre repertoires et genres theatraux techniques de mise en scene caracteristiques des materiels d'eclairage techniques d'expression corporelle traitement du son techniques d'interpretation techniques d'improvisation techniques de diction scenographie ,avec_formation_art dramatique conservatoires art dramatique ecoles privees avec_experience sans_diplome_adhesion societe auteurs compositeurs dramatiques sacd recommandee perception defense droits auteur,assistant   assistante mise en scene assistant metteur   assistante metteuse en piste assistant metteur   assistante metteuse en scene collaborateur   collaboratrice mise en scene co-metteur   co-metteuse en scene metteur   metteuse en piste metteur   metteuse en scene metteur   metteuse en scene theatre 
437,spectacle,production et administration spectacle  cinema et audiovisuel l1302,met en oeuvre et supervise la production de spectacles  de disques  de projets audiovisuels ou cinematographiques. assure la gestion budgetaire  administrative et l'encadrement du personnel d'une production  d'une compagnie ou d'un lieu de spectacle. peut definir et mettre en oeuvre le projet artistique d'un etablissement (theatre  orchestre  cirque  ...). peut elaborer un concept d'emission  un projet de spectacle  de film  ... ,competences de base savoir-faire savoirs selectionner un projet en coherence avec une politique artistique determiner les conditions de realisation d'un projet definir les moyens humains  materiels et financiers d'un projet etudier un devis general et par poste selon les indications d'une equipe de realisation etablir un devis etablir un dossier de demande de financement promouvoir un projet negocier des partenariats etablir un contrat elaborer un budget constituer des equipes de travail recruter du personnel coordonner l'activite d'une equipe dispositifs de financement culturel outils bureautiques logiciels comptables legislation sociale droit de la propriete intellectuelle droit commercial fiscalite gestion financiere gestion administrative gestion comptable types de produits audiovisuels cinematographiques (film  reportage  ...) paysage audiovisuel francais techniques de communication ,avec_diplome_bac+2 bts bac+5 master ecole_commerce administration gestion droit gestion administration entreprises culturelles avec_experience spectacle cinema television radio sans_diplome_connaissance domaine artistique musique danse art dramatique arts cirque,administrateur   administratrice d'orchestre administrateur   administratrice de compagnie de danse administrateur   administratrice de compagnie de theatre administrateur   administratrice de production cinema administrateur   administratrice de production de spectacles administrateur   administratrice de theatre administrateur   administratrice de tournees spectacle assistant   assistante d'emission audiovisuelle assistant   assistante de production spectacle attache   attachee de production audiovisuelle attache   attachee de production cinematographique attache   attachee de production de spectacles charge   chargee d'antenne audiovisuelle charge   chargee de postproduction charge   chargee de production audiovisuelle charge   chargee de production cinematographique charge   chargee de production de spectacles conseiller   conseillere de programme audiovisuel directeur   directrice artistique spectacle directeur   directrice d'antenne radio directeur   directrice d'antenne television directeur   directrice de ballet directeur   directrice de cirque directeur   directrice de compagnie de danse directeur   directrice de compagnie de theatre directeur   directrice de festival directeur   directrice de la danse directeur   directrice de la musique directeur   directrice de production audiovisuelle directeur   directrice de production cinematographique directeur   directrice de production de spectacles directeur   directrice de theatre directeur musical   directrice musicale entrepreneur   entrepreneuse de spectacles producteur   productrice cinema producteur   productrice de musique producteur   productrice de spectacles producteur   productrice phonographique producteur   productrice radio producteur   productrice television producteur delegue   productrice deleguee producteur executif   productrice executive programmateur   programmatrice de spectacles programmateur   programmatrice radio responsable de la programmation audiovisuelle responsable de la programmation de spectacles secretaire de production cinema secretaire de production de spectacles 
438,spectacle,promotion d'artistes et de spectacles l1303,gere et developpe la carriere d'artistes (comediens  ecrivains  musiciens  ...)  de mannequins  de sportifs  ... selon la reglementation (droit de la propriete artistique et litteraire  droit du sport  ...)  les objectifs et les orientations professionnels. peut conseiller un artiste (comedien  ecrivain  musicien  ...)  un mannequin  un sportif  ... sur son image. peut realiser des auditions et des castings d'artistes pour un spectacle  un film  ... peut gerer la diffusion de spectacles (danse  musique  theatre  arts de la rue et de la piste  ...). ,competences de base savoir-faire savoirs reperer les talents  les aptitudes  le physique lors d'evenements et dans l'environnement relationnel et professionnel cerner la personnalite de l'artiste  du mannequin  du sportif et definir ses objectifs de carriere soumettre des projets a l'appreciation d'un artiste  mannequin ou sportif promouvoir un artiste  mannequin  sportif negocier un contrat verifier les conditions d'execution d'un contrat verifier le paiement des cachets verifier le paiement des droits verifier le paiement des prestations realisees techniques commerciales outils bureautiques droit commercial droit de la propriete intellectuelle argumentation commerciale ,avec_experience management carrieres artistiques connaissance approfondie mode musique cinema sport litterature reglementation droit propriete artistique litteraire droit sport droit commercial autorisation exercer licence annuelle agent delivree ministere competent ministere travail ministere jeunesse sports langues etrangeres anglais,agent   agente artistique agent   agente d'artiste agent   agente de mannequin agent   agente de promotion des artistes agent   agente de sportif agent   agente litteraire assistant   assistante de la distribution artistique booker   bookeuse charge   chargee de diffusion de spectacles chef de file figuration directeur   directrice de casting impresario manager d'artiste music manager representant   representante litteraire tourneur   tourneuse spectacle 
439,spectacle,realisation cinematographique et audiovisuelle l1304,supervise et organise tout ou partie de la realisation d'oeuvres cinematographiques (courts et longs metrages  documentaires  films institutionnels  ...)  d'emissions televisees ou radiophoniques  selon la reglementation de la propriete intellectuelle  le code de l'industrie cinematographique et les imperatifs de la production (budget  programmation  diffusion  ...). peut ecrire un scenario. ,competences de base savoir-faire savoirs presenter un scenario ou un synopsis a des producteurs concevoir un projet cinematographique concevoir un projet radiophonique ou televise definir les conditions de realisation d'un projet audiovisuel selectionner des interpretes selectionner du personnel technique selectionner un lieu de tournage determiner les decors  costumes  coiffures et maquillages pour un tournage elaborer un plan de travail realiser le decoupage technique d'un scenario diriger des equipes techniques sur un tournage diriger des acteurs visionner les rushes du tournage et selectionner les prises pour le montage selon les indications et les intentions artistiques du realisateur  du journaliste  ... verifier la conformite du montage du film  de l'emission  du documentaire  ... promouvoir une oeuvre appreciation visuelle d'image argumentation commerciale realisation de story-board techniques de prise de vue histoire du cinema techniques de mise en scene techniques de tournage paysage audiovisuel francais caracteristiques des materiels d'eclairage ,avec_diplome_bac+2 bts master realisation audiovisuel avec_experience ces sans_diplome_adhesion societe auteurs compositeurs dramatiques sacd societe civile auteurs multimedia scam recommandee perception defense droits auteur diffusion,assistant   assistante scripte assistant realisateur   assistante realisatrice deuxieme assistant realisateur   deuxieme assistante realisatrice documentariste premier assistant realisateur   premiere assistante realisatrice realisateur   realisatrice realisateur   realisatrice audiovisuel realisateur   realisatrice cinema realisateur   realisatrice d'emission de radio realisateur   realisatrice de court metrage realisateur   realisatrice de documentaire realisateur   realisatrice de film d'animation realisateur   realisatrice de film d'entreprise realisateur   realisatrice de film publicitaire realisateur   realisatrice de long metrage realisateur   realisatrice de plateau realisateur   realisatrice de telefilm realisateur   realisatrice de video-clip realisateur   realisatrice radio realisateur   realisatrice television scripte scripte cinema scripte television 
440,spectacle,sportif professionnel l1401,participe a des competitions selon la discipline sportive et se prepare au niveau physique  technique  strategique afin de se perfectionner et d'atteindre les objectifs sportifs. peut etre le representant de son equipe lors d'epreuves sportives. peut realiser des essais tests de materiels ou d'equipements sportifs. peut arbitrer des rencontres sportives. ,competences de base savoir-faire savoirs definir ou participer a la definition du projet individuel ou collectif d'entrainement avec les entraineurs  le directeur sportif  ... realiser les exercices de preparation physique selon le programme d'entrainement  de competition determiner le mode d'intervention avec l'entraineur  l'equipe  le responsable technique selon les objectifs de la competition et la situation selectionner le materiel ou les equipements selon la competition et les contraintes concourir en competition et adapter les actions selon les directives de l'entraineur  du directeur sportif promouvoir l'image et la notoriete d'une entreprise communication externe techniques de communication reglementation du sport et des activites sportives anatomie humaine physiologie dietetique normes de securite des espaces et des etablissements recevant du public ,apres selection selon performances potentialites sportif,arbitre professionnel   professionnelle de discipline sportive banderillo   banderilla boxeur   boxeuse catcheur   catcheuse cavalier   cavaliere d'entrainement cavalier dresseur   cavaliere dresseuse de chevaux cavalier professionnel   cavaliere professionnelle cycliste hockeyeur   hockeyeuse jockey joueur professionnel   joueuse professionnelle de basket-ball joueur professionnel   joueuse professionnelle de football joueur professionnel   joueuse professionnelle de golf joueur professionnel   joueuse professionnelle de handball joueur professionnel   joueuse professionnelle de pelote basque joueur professionnel   joueuse professionnelle de rugby joueur professionnel   joueuse professionnelle de tennis joueur professionnel   joueuse professionnelle de volley-ball lutteur   lutteuse patineur   patineuse a roulettes picador pilote automobile pilote professionnel   professionnelle automobile pilote professionnel   professionnelle d'aviation sportive pilote professionnel   professionnelle de motocycle professionnel   professionnelle de sport de glisse skieur professionnel   skieuse professionnelle skipper professionnel   professionnelle sportif professionnel   sportive professionnelle torero   torera 
441,spectacle,coiffure et maquillage spectacle l1501,concoit et realise les coiffures  les maquillages de chanteurs  comediens  mannequins  presentateurs tv  journalistes  ... pour des spectacles  des defiles  des tournages  selon les imperatifs de la production (programmation  budgets  ...)  de diffusion des collections (pret-a-porter  haute couture  ...) et la planification de campagnes publicitaires. peut realiser des effets speciaux de maquillage et confectionner des postiches (perruques  moustaches  ...). peut coordonner une equipe. ,competences de base savoir-faire savoirs concevoir les coiffures  les maquillages des interpretes intervenants pour un spectacle  un tournage selon les indications (theme  scenario  epoque) determiner les conditions de realisation (temps  lieu  logistique  competences) des coiffures ou des maquillages  les moyens (materiel  budget) et effectuer les commandes realiser les essais de coiffure ou de maquillage sur les interpretes les intervenants maquiller les interpretes et les intervenants selon les types de role  les scenes  les sequences  ... coiffer les interpretes et les intervenants selon le contexte de la scene  de la sequence proceder aux raccords et aux changements de coiffure ou de maquillage entre deux prises  deux sequences  ... techniques de maquillage television techniques de maquillage techniques de maquillage de spectacle techniques de coiffage de mode  defile  photo histoire des coiffures techniques de coiffage de perruques et de postiches techniques de coiffage d'epoque  historique caracteristiques morphologiques du visage ,cap bep esthetique coiffure experience coiffure maquillage spectacle recrutements contrats_travail duree_determinee vacation contrat_travail duree_indeterminee structures permanentes,assistant coiffeur   assistante coiffeuse spectacle assistant maquilleur   assistante maquilleuse spectacle assistant maquilleur coiffeur perruquier   assistante maquilleuse coiffeuse perruquiere spectacle assistant perruquier   assistante perruquiere spectacle chef coiffeur   coiffeuse spectacle chef coiffeur maquilleur   coiffeuse maquilleuse spectacle chef coiffeur perruquier   coiffeuse perruquiere spectacle chef maquilleur   maquilleuse spectacle chef maquilleur posticheur   maquilleuse posticheuse spectacle chef perruquier   perruquiere spectacle chef perruquier maquilleur   perruquiere maquilleuse spectacle chef posticheur   posticheuse spectacle coiffeur   coiffeuse spectacle coiffeur maquilleur   coiffeuse maquilleuse spectacle coiffeur-perruquier   coiffeuse-perruquiere spectacle coiffeur-posticheur   coiffeuse-posticheuse spectacle concepteur   conceptrice coiffures spectacle concepteur   conceptrice maquillages spectacle implanteur-perruquier   implanteuse-perruquiere spectacle maquilleur   maquilleuse effets speciaux maquilleur   maquilleuse spectacle maquilleur coiffeur   maquilleuse coiffeuse spectacle maquilleur-coiffeur perruquier   maquilleuse-coiffeuse perruquiere spectacle maquilleur-posticheur   maquilleuse-posticheuse spectacle perruquier   perruquiere spectacle perruquier-coiffeur   perruquiere-coiffeuse spectacle perruquier-maquilleur   perruquiere-maquilleuse spectacle posticheur   posticheuse spectacle 
442,spectacle,costume et habillage spectacle l1502,fabrique et entretient les costumes (contemporains  historiques  grotesques) pour des spectacles  des tournages selon les imperatifs de la production. habille des interpretes (comediens  chanteurs  danseurs  ...)  des intervenants (presentateurs  animateurs  ...)  des mannequins selon la chronologie des tournages  des spectacles  des defiles. peut concevoir des costumes. peut coordonner une equipe. ,competences de base savoir-faire savoirs realiser manuellement un gabarit  patron realiser des costumes a theme a partir d'un patron  d'un modele verifier les costumes et realiser les retouches  les finitions installer les costumes des interpretes dans la loge  selon la chronologie du spectacle concevoir les costumes des interpretes d'un spectacle  d'un tournage selon les indications (epoque  scenario  theme  ...) entretenir un textile techniques de patronnage techniques de coupe de textile  cuir couture manuelle techniques de montage des costumes procedures d'essayage utilisation de machine de confection symboles d'entretien des textiles produits d'entretien textile techniques de repassage prise de mesures techniques d'habillage de l'artiste ,avec_diplome_cap bep bac bac couture mode avec_experience couture sans_diplome_recrutements contrats_travail duree_determinee vacation contrats_travail duree_indeterminee structures permanentes,assistant costumier   assistante costumiere chef costumier   costumiere chef habilleur   habilleuse concepteur   conceptrice de costumes costumier   costumiere costumier-habilleur   costumiere-habilleuse costumier-realisateur   costumiere-realisatrice couturier   couturiere spectacle createur   creatrice de costumes decorateur-costumier   decoratrice-costumiere habilleur   habilleuse regisseur   regisseuse costumes 
443,spectacle,decor et accessoires spectacle l1503,concoit et effectue la mise en place des decors et des accessoires pour des spectacles  des tournages  selon les intentions artistiques du metteur en scene  du realisateur  du choregraphe  ...  la reglementation securite des etablissements recevant du public (erp) et les imperatifs de la production. peut realiser des artifices et des effets pyrotechniques. ,competences de base savoir-faire savoirs concevoir des decors et accessoires de spectacle definir les moyens humains  materiels et financiers d'un projet identifier les besoins necessaires a la realisation de decors assembler un decor fabriquer des accessoires de jeu installer les accessoires necessaires a un numero avant la representation implanter des elements de decor controler l'etat de fonctionnement d'un appareil transmettre les accessoires de jeu (journal  bouteille  valise  ...) aux acteurs  au cours du tournage  de la representation controler la similitude des decors et des accessoires du debut a la fin du tournage ou de la representation analyser un plan d'implantation procedure d'entretien de materiel procedures d'entretien d'equipements utilisation d'outillages manuels histoire de l'art normes de securite scenographie colorimetrie ,avec_diplome_cap bac+2 bts accessoire decor spectacle master decors scenographie postes decorateur scenographe scenographe experience sans_diplome_recrutements contrats_travail duree_determinee contrats_duree_indeterminee habilitations delivrees ministere defense ministere interieur requises possession transport armes armurier certificat qualification installation tir feux artifices,accessoiriste accessoiriste de plateau accessoiriste en effets speciaux armurier   armuriere spectacle artificier   artificiere spectacle artificier   artificiere spectacles pyrotechniques assistant   assistante plateau assistant decorateur   assistante decoratrice spectacle chef accessoiriste chef constructeur   constructrice en decors chef decorateur   decoratrice spectacle conseiller   conseillere technique en armes decorateur   decoratrice scenographe spectacle decorateur   decoratrice spectacle ensemblier spectacle   ensembliere spectacle pyrotechnicien   pyrotechnicienne regisseur   regisseuse accessoiriste regisseur   regisseuse d'exterieurs regisseur   regisseuse de scene scenographe spectacle technicien   technicienne en effets speciaux 
